🀄️ mahjong️
👨🏿‍🤝‍👨🏼 men_holding_hands_tone5_tone2
👨🏿‍🤝‍👨🏽 men_holding_hands_tone5_tone3
👨🏿‍🤝‍👨🏾 men_holding_hands_tone5_tone4
👨🏿‍🦯 man_with_probing_cane_tone5
👨🏿‍🦰 man_red_haired_tone5
👨🏿‍🦱 man_curly_haired_tone5
👨🏿‍🦲 man_bald_tone5
👨🏿‍🦳 man_white_haired_tone5
👨🏿‍🦼 man_in_motorized_wheelchair_tone5
👨🏿‍🦽 man_in_manual_wheelchair_tone5
👨🏿‍⚕️ man_health_worker_tone5
👨🏿‍⚖️ man_judge_tone5
👨🏿‍✈️ man_pilot_tone5
👨🏿 man_tone5
👨‍🌾 man_farmer
👨‍🍳 man_cook
👨‍🎓 man_student
👨‍🎤 man_singer
👨‍🎨 man_artist
👨‍🏫 man_teacher
👨‍🏭 man_factory_worker
👨‍👦‍👦 family_man_boy_boy
👨‍👦 family_man_boy
👨‍👧‍👦 family_man_girl_boy
👨‍👧‍👧 family_man_girl_girl
👨‍👧 family_man_girl
👨‍👨‍👦‍👦 family_mmbb
👨‍👨‍👦 family_mmb
👨‍👨‍👧‍👦 family_mmgb
👨‍👨‍👧‍👧 family_mmgg
👨‍👨‍👧 family_mmg
👨‍👩‍👦‍👦 family_mwbb
👨‍👩‍👦 family_man_woman_boy
👨‍👩‍👧‍👦 family_mwgb
👨‍👩‍👧‍👧 family_mwgg
👨‍👩‍👧 family_mwg
👨‍💻 man_technologist
👨‍💼 man_office_worker
👨‍🔧 man_mechanic
👨‍🔬 man_scientist
👨‍🚀 man_astronaut
👨‍🚒 man_firefighter
👨‍🦯 man_with_probing_cane
👨‍🦰 man_red_haired
👨‍🦱 man_curly_haired
👨‍🦲 man_bald
👨‍🦳 man_white_haired
👨‍🦼 man_in_motorized_wheelchair
👨‍🦽 man_in_manual_wheelchair
👨‍⚕️ man_health_worker
👨‍⚖️ man_judge
👨‍✈️ man_pilot
👨‍❤️‍👨 couple_mm
👨‍❤️‍💋‍👨 kiss_mm
👨 man
👩🏻‍🌾 woman_farmer_tone1
👩🏻‍🍳 woman_cook_tone1
